rule,rows_affected,pct_of_total,reason,implication
exact_duplicate_rows_all_events,2154860,10.4136,"Full-row duplicates concentrated in remove_from_cart/cart (98%+ of dup rows); near-identical repeated telemetry pings, not order-level double counting.",Kept as-is. Do not dedupe view/cart/remove_from_cart rows -- would silently drop real repeated user actions logged at 1-second resolution.
duplicate_purchase_line_items,905,0.0703,"Rows where the same (session, timestamp, product_id) purchase line repeats -- most plausibly quantity > 1 of the same product in one order, since REES46 logs one row per unit.","Kept. Use count(*) per order, not count(DISTINCT product_id), when computing basket size or revenue, so quantity is not silently discarded."
null_category_code,20339246,98.2912,Category taxonomy is sparsely populated at source -- most products were never mapped to a human-readable category path.,"Category-level analysis (nb01, nb04) must fall back to category_id groupings or explicitly report the coverage gap -- do not assume category_code is representative."
null_brand,8757117,42.3196,Brand field left blank at source for a large share of catalog items.,"Brand-level segmentation features (nb04/nb05) will only cover ~58% of events; document coverage, do not impute a brand."
null_user_session,4598,0.0222,A small number of events were logged without a session identifier.,"Rows with null user_session are excluded from any session- or order-level reconstruction (funnel, order rule) but remain in raw event totals."
negative_price,131,0.0006,"Small number of rows carry a negative price -- a data-entry/export artifact, not a real negative-cost transaction.","Exclude from any revenue/order-value aggregate (nb05, nb09). Keep the row for behavioral (event-count) analysis since the event itself is real."
zero_price,104157,0.5033,Zero-price rows are almost entirely cart/remove_from_cart/view events (free samples or un-priced catalog items); only 1 purchase row has price=0.,Keep. Treat as free/gift items in revenue calculations rather than dropping -- dropping would understate basket size for orders that include a free item.
sessions_over_24h,35630,2.1609,A small tail of 'sessions' span more than 24 hours (max observed spans the entire 5-month window) -- almost certainly session-ID reuse/collision rather than one continuous visit.,"Session-only groupings (e.g. 'one order per session') are unsafe for this data. Order reconstruction (Section 9) uses session + exact purchase timestamp, not session alone, for exactly this reason."
bot_like_high_volume_users,10,0.0,Top user_ids by event count show session/event volumes inconsistent with a single human shopper (e.g. tens of thousands of events across thousands of sessions in under 90 days).,"NOT filtered in nb00 -- flag only. Downstream notebooks (nb02 retention, nb04 segmentation) must decide and document an explicit activity-based exclusion threshold; silently leaving them in will distort activity-retention and engagement-cluster metrics."
purchase_without_any_prior_cart,102664,7.977,"Most 'purchase with no same-session cart' cases resolve once cart events from earlier sessions are counted -- normal cross-session shopping behavior, not a logging gap. A residual ~8% of purchase lines have no cart event at all, ever, for that product/user.","Do not treat cart-then-purchase as a universal precondition in nb01's funnel typing -- a meaningful minority of purchases are direct (""buy now""-style or mis-logged cart events). Report both rates; use the any-prior-session number as the honest one."
nb04_no_behavioural_profile,5813,5.2975,"Purchasers with zero view events or zero cart events, so at least one of the eight clustering features is undefined. Median 0 views / 4 cart events / 1 session -- minimum-footprint direct-to-cart buyers, the user-level form of 00's purchase_without_any_prior_cart finding.","NOT dropped. Excluded from the k-means FIT only, and carried through every downstream table as an explicit 'No Behavioural Profile' level so the RFM x cluster cross-tab reconciles to all 109,732 purchasers."
nb04_feature_winsorisation,0,0.0,"Clustering features clipped to their own [0.5, 99.5] percentiles after the log1p transform. No user is removed; only extreme feature VALUES are capped.",Prevents a handful of extreme users forming singleton k-means clusters. Clip bounds are fitted on the training window only and persisted in data/processed/segment_model.json so 05 can reproduce the transform exactly.
