source,constraint,what_09_does
08,"08 PRODUCED NO EFFECT SIZE. 09's ROI chain must not contain a number described as the measured or expected lift of this intervention. The only lift 08 licenses is the BREAK-EVEN lift (0.39 pp), which is a cost threshold, not a forecast.",S3 -- the lift is a free axis; no line in any table is a forecast
08,"If 09 models a scenario, it must sweep lift as a free parameter from 0 to at least 1 pp and show where the chain crosses break-even -- never assume a point value.","S3B -- grid {0, break-even, 0.50, 0.75, 1.00, 1.50} pp; the crossing is drawn"
08,"Reach comes from the TRIGGER, not from the churn flag. Sizing on 03's 36,495 flagged users is the error 03 and 04 both warned about; the addressable population is the enrolment rate (638 users/day) times the campaign's calendar length.",S3A -- reach is the trigger flow (enrolments/day x 365.25); S6 DO-NOW 1 and 2
08,"Value per incremental second order is EUR 12.76, of which EUR 0.49 is the downstream term at 02's 1.27x residual. Do NOT use the naive 2.00x -- it overstates that term 3.7x.",S2 -- V registered at EUR 12.757 with the 1.27x term; asserted against 08 in S8
08,"Contact cost and contribution margin are ASSUMPTIONS and must stay visually separate from the base rate, AOV, inflow and guardrail baselines, which are DATA (principle 13).",S2 -- four-tag ledger and figure; S4 prices both assumptions
08,"The pull-forward risk is unresolved and unresolvable without the experiment. A 30-day lift that does not appear in the 90-day order count is rescheduling, not incremental demand. 09 must carry this as an explicit scenario, not a footnote.","S3C -- the rescheduling scenario is a line on the impact figure, not a footnote"
08,Every duration in 09 must use the October-excluded inflow rate (695.4/day). Including October inflates it 4.5% because the window is left-censored.,"S3A -- 695.36/day, the October-excluded rate, asserted in S8"
08,THE EXPERIMENT'S METRIC IS NOT 06's. repeat_30d_from_trigger has a 10.25% base rate on users who survived 14 days un-repeated; 06's repeat_purchase_30d has 13.73% measured from t0 on everyone. They are different quantities and must never be substituted for one another in an ROI chain.,S2/S3 -- the chain runs on 10.248%; S8 asserts 13.73% never enters it
08,"IF 09 QUOTES A SAMPLE SIZE OR A DURATION, IT IS 40,719 PER ARM AND 26 WEEKS, the decision-powered design. The 15,058/arm figure in S6D-S6F is superseded and is retained only as the record of how it was first derived. A cost line built on it understates the spend 2.7x.","S1B/S5 -- design B, 40,719 per arm and 26 weeks, taken from the handoff"
03,"DO NOT treat the flagged population as the at-risk population. Sizing an intervention off 36,495 flagged users understates the at-risk base by 25,292 (41% short), while 3,694 of those flagged need no intervention. Any reach or ROI denominator built on the flagged count must be divided through by recall (53.09%), or it is wrong by roughly a factor of two.","S6 DO-NOW 1 -- true at-risk = correctly_flagged / recall, never flagged / recall"
04,"A stored cluster label is NOT a durable customer attribute. ~43% of users change segment within two months, so any campaign built on a stale segment list misdirects roughly two users in five. 08 must RE-SCORE membership at the moment of targeting using segment_model.json.",S6 DO-NOW 4 -- re-score at send time; a stored label is not an attribute
04,"All missed churners have recency BELOW 42.2d, i.e. they score in the FRESHEST R tercile. The at-risk population is therefore NOT concentrated in the Low-RFM cells -- roughly half of it sits in cells that look healthy. A campaign sized off Low-RFM at-risk cells reaches at most half the at-risk base, and behaviour is the only lens here that can see the other half.",S6 DO-NOW 1 -- half the at-risk base sits in cells that look healthy
06,"The shipped model is WEAK and it is honest about it: test ROC 0.628, AP 0.181 against a 0.117 base rate, decile-1 lift 1.88x. Do not build an ROI chain that assumes a strong propensity model.",S3 -- no line in the chain assumes a propensity model works; none is used
06,PROPENSITY IS NOT UPLIFT. Every number here ranks users by probability of repeating unaided. 07 must show on Criteo that risk-targeting and uplift-targeting select different people; 08's design must randomise rather than target on this score.,S6 STOP 1 -- propensity is not uplift; the score is not a targeting rule
07,Every effect size. Criteo is display advertising over a multi-day window; REES46 is cosmetics repeat purchase over 30 days.,S8 -- asserted mechanically: no Criteo magnitude enters any calculation
02,"Associational, and about ONE trading week. Confounded with calendar position, merchandising and deal-seeking intent. Cannot justify a discounting decision on its own -- see 07 (Criteo) for randomised incrementality.","S6 STOP 3 -- the Black Friday gap is a reason to investigate, not to price"
00,"user_id is cookie-scoped, not account-scoped -- every repeat-purchase/retention figure is a LOWER BOUND on true customer-level behavior.",S7 -- stated as the first thing this project cannot tell the business
