key,value,unit,tag,source,note
base_rate,0.10248430541396147,share,DATA,"08 ledger <- 05 features.parquet, day-14 trigger pool (this notebook S3C)","74,548 historical analogues; 05/06's 13.73% is the wrong anchor for this population"
aov_second_order,40.88647032592833,EUR,DATA,"08 ledger <- 05 orders.parquet, second orders, bulk buyers excluded","n=24,668, median EUR 31.25; bulk buyers excluded from the MEAN per 01's B2B finding"
downstream_uplift,0.04003228346456693,share,DATA,"08 ledger <- 02 S0B compounding-vs-selection, slowest-to-second bucket (1.27x residual)","1.27x residual, NOT the naive 2.00x from the fastest bucket"
first_buyer_inflow_per_day,695.3636363636364,users/day,DATA,"08 ledger <- 05 features.parquet, first-order timestamps, 2019-11-01 to 2020-02-29","October excluded: it is left-censored, every October purchaser looks like a first-time buyer"
trigger_survival_share,0.9167916963868461,share,DATA,"08 ledger <- this notebook S3C trigger sweep, row T=14","share of a cohort still un-repeated at day 14, i.e. still enrollable"
contact_cost,0.05,EUR/contact,ASSUMPTION,"08 ledger <- business input -- transactional email send, ESP list price order of magnitude","charged on EVERY treated user, converting or not. Sensitivity grid in S6C."
contribution_margin,0.3,share,ASSUMPTION,"08 ledger <- business input -- cosmetics e-commerce gross contribution after COGS, fulfilment, payment","not observable in REES46: the data carries price, never cost. Sensitivity grid in S6C."
discount_rate,0.0,share,ASSUMPTION,08 ledger <- design choice -- the primary arm carries NO offer,S6C prices the discount variants and they are why the primary arm carries none
holdback_share,0.1,share,DESIGN,08 T5 -- a permanent holdback is the handling for novelty/decay,"10% of enrolments are never contacted, so the effect stays measurable after ship"
n_per_arm_design_B,40719.0,users/arm,DESIGN,08 economics.n_per_arm -- the decision-powered design,"NOT the superseded 15,058; that design ships 39.9% of the time at the same true effect"
weeks_to_primary_readout,26.0,weeks,DESIGN,08 economics.weeks_to_primary_readout,2 ramp + 19 enrolment + 5 outcome; G2 pull-forward at 33 weeks
evaluation_horizon_weeks,104.0,weeks,DESIGN,this notebook -- two years from the decision point,long enough that a 26-week delay is priced rather than ignored
cost_of_capital,0.0,share/yr,ASSUMPTION,business input -- no time-discounting applied,at these magnitudes a 5% rate moves the 2-year figures by under EUR 900
true_lift_at_target,0.01,share,SCENARIO,"08 economics.mde_pp -- the design target, swept across a grid in S3B",NOT a forecast and not an estimate: the value the tornado in S4 holds while the assumptions move. The grid that contains it starts at zero.
new_demand_share,1.0,share,SCENARIO,S3C -- the share of a measured 30-day lift that is new demand,1.0 is the optimistic end. Unresolved until G2 at 33 weeks; S3C sweeps it to 0.
