tier,id,what,why,evidence,expected_impact,cost,risk,how_it_is_tested
DO NOW,N1,"Stop treating the 36,495 churn-flagged users as the at-risk population. The at-risk base is correctly_flagged / recall = 32,801 / 0.5309 = 61,784.","The certified 42.2d rule has 53.09% recall, so it misses 28,986 genuinely at-risk users, and 3,694 of the users it does flag are false positives. Dividing the FLAGGED count by recall gives 68,742 and double-counts those false positives -- 04 applied that version inside cells and had to withdraw it.","03 S3 (recall, FP rate), 03 addressable_population, 04 S9A (the withdrawn cell-level correction)","A sizing correction, not a revenue claim: any list built from the flag is 41% short of the at-risk base and wastes ~3,700 contacts.",None. A definition change in how the flag is reported.,"Recall was measured at ONE flag date and 03 S9D showed the J-optimal threshold drifts 43.5d -> 29.4d as that date moves. Treat 53.09% as a factor of roughly two, not a precise divisor.",Re-measure recall at three or more flag dates once ~9 months of history exists (03 S9D). Until then the correction is directional.
DO NOW,N2,"Size activation campaigns on the FLOW (638 enrolments/day, 232,848/year), never on a stock count of flagged users.",The trigger is a rate and the flag is a snapshot. 03's base-rate reconciliation is the same error in reverse: a stock churn rate (84.84%) read against a flow retention rate (21.08% at D60) looks like a contradiction and is a composition difference.,"08 S6E (inflow and enrolment rate), 03 base_rate_reconciliation, 09 S3A","Gives the day-14 nudge a real addressable population of 232,848/yr and makes duration, not list size, the binding constraint.",None.,"The inflow rate is a four-month average (Nov-Feb) that includes Black Friday, and October is excluded because it is left-censored. It is a measurement of the past, not a forecast.",Directly observable -- recompute monthly from first-order timestamps.
DO NOW,N3,"Stop quoting session-scoped funnel conversion as the conversion rate. Report the user-scoped rate beside it, and label both as lower bounds.","01 measured 3.81% of viewing SESSIONS ending in a purchase against 6.87% of viewing USERS -- the same funnel, 1.81x apart, because a user who browses five times and buys once converts in one session out of five. Under cookie-scoped identity both are lower bounds on the customer-level rate.","01 S2 (raw vs dedup, session vs user), 00 known_limitations (cookie-scoped user_id)",A target set on the session denominator is wrong by 1.81x. No campaign changes; the number every campaign is measured against does.,None.,"Neither rate is customer-level, so the correction removes one bias and leaves another in place. Say so whenever either is quoted.",Account-level identity resolution would settle it; partial coverage is enough to estimate the factor.
DO NOW,N4,Re-score behavioural segments at the moment of targeting. Never target from a stored segment label.,"04's stability test: the cluster STRUCTURE reproduces across time (ARI 0.891, centroids within 0.21 z) but MEMBERSHIP does not -- 56.9% of users stay in the same segment over two months, Cohen's kappa 0.309 against a 37.6% chance rate, and an equal-window control rules out a window-length artefact.","04 stability, 04 binding_rule_for_08_09, segment_model.json",A campaign built on a two-month-old segment list misdirects roughly two users in five.,A scoring job at send time using segment_model.json. No new data.,"Drift is directional -- users migrate toward the broad/deep segment as history accumulates, and none of the eight features is tenure-normalised, so part of what the clustering calls behaviour is tenure.",Re-run 04's fit-then-score stability check each quarter; kappa is the metric to watch.
TEST NEXT,T1,"Run 08's day-14 no-offer activation nudge as design B: 40,719 users per arm, 81,438 total, 19 weeks of enrolment, 26 weeks to the primary readout, 33 to the G2 pull-forward readout.","Every signal this project found for repeat purchase is weak -- the shipped model reaches ROC 0.628 and AP 0.181 against a 0.117 base rate -- and 07 showed on genuinely randomised data that ranking users by who repeats unaided is not ranking them by who would respond. Only randomisation answers the targeting question, and a time trigger sidesteps the two unresolved problems in the churn threshold entirely.","08 (the full design and pre-registration), 07 S7 (risk vs uplift), 06 (model strength), 03 S9D (threshold not identified)","CONDITIONAL, and that is the point: EUR 0 at a true zero, EUR 0 at break-even (0.39 pp), EUR 16,256/yr at 08's 1.00 pp target, EUR 29,623/yr at 1.50 pp. No point estimate is available and none is offered.","EUR 2,036 of contact spend at the assumed EUR 0.05, plus 26 weeks of calendar and the CRM build. The test consumes 35% of a year's enrolments.","Inconclusive 20% of the time at a true 1.00 pp effect and 55% at a true zero; the pull-forward question stays open until the day-90 G2 readout; cookie-scoped identity attenuates the measured ITT toward the null. T1-T9 in 08 S8 carry the rest, two of them marked unhandled.","It is the test. ITT by randomised assignment, three-way decision against the 0.39 pp break-even line, SRM and harm guardrails monitored continuously, fixed horizon with no peeking."
TEST NEXT,T2,"Before launch, add the inconclusive branch and the permanent 10% holdback to the pre-registration.","08 pre-registered the SHAPE of the three-way rule but not the action on its most likely branch. A decision rule with an unwritten branch gets written at readout, by whoever wants the answer most.","08 decision_rule, 08 T5 (novelty/decay), 08 T6 (peeking), 09 S5C","Converts an unbounded wrong-ship error into a bounded one (about EUR 21,000 over two years) and removes the temptation to read a positive point estimate as a result.","None beyond the holdback's forgone value, which is about EUR 3,000/yr at a true 1.00 pp effect and zero if the campaign does not work.","A holdback is only free if the campaign works; if it does, 10% of the value is deliberately forgone to keep measuring. That is the trade and it should be stated to the business as one.","The holdback IS the ongoing test: it re-estimates the ITT in steady state, which is the only way to catch novelty decay after ship."
STOP / DON'T START,S1,"Do not target this or any retention campaign on 06's risk score, or on any propensity-to-churn ranking. Use the score for blocking and for reporting only.","07 evaluated exactly this policy on a real randomised test: targeting the bottom 50% of baseline propensity -- what pointing 06's model at its churn tail means -- captured 1.0% of the achievable incremental effect, against random targeting's 49.8% and response-propensity targeting's 97.4%, with a CI excluding zero by a wide margin.","07 S7 policy comparison, 07 carry_back_to_rees46, 06 operating_point uplift_caveat",Avoids spending a campaign budget on the half of the population least likely to respond. On Criteo's structure that is a 50x difference in incremental effect at the same cost.,None -- it is a decision not to do something.,"The MAGNITUDE does not transfer: Criteo is display advertising and carries a +/-25% adjustment bias band. The DIRECTION and the mechanism do. And the sign of the propensity/uplift relationship at REES46 is genuinely unknown -- 07 found uplift RISING with propensity, the retention intuition is the opposite.","08's pre-registered exploratory tercile readout, which is underpowered by ~40x (8,346 events against the ~330,000 07 measured as necessary) and will not settle it. It is a readout, not a finding."
STOP / DON'T START,S2,Do not run discount-led activation as the first test. The first test carries no offer.,"A discount is a transfer paid to every converter, including the ones who needed no help. At a 30% margin a 10% discount raises the bar from a 3.8% relative lift to 52.8%; at a 20% margin a 20% discount never breaks even at any lift. At 08's target, 91% of the treated arm's converters would have converted anyway.","08 S6C break-even sensitivity, 09 S2 (the ledger), 02 S0B (the 1.27x residual)",Prevents a test that cannot pay for itself from consuming the 26 weeks the no-offer test needs.,None.,"The no-offer reminder may simply have no effect, in which case the discount was never the problem. That is what the test is for -- but the order matters, because a discount arm cannot separate the reminder's effect from the discount's.","Only after a plain reminder has cleared break-even. Then a discount arm is a second experiment with its own break-even, not a bigger version of this one."
STOP / DON'T START,S3,Do not repeat Black-Friday-style acquisition at scale until the cohort gap is understood.,"02 measured the Black Friday cohort retaining 5.39 pp worse at D30 than organic acquisition, widening to 7.42 pp by D90, and 03 confirmed the sign and CI in every measurable cell. The gap WIDENS, which is not what a one-off timing artefact does.","02 black_friday_cohort, 03 sensitivity_of_01_02_headlines, 08 S8A (35.5% of November's enrollees)","Unquantified deliberately: this is associational, about a single trading week, and confounded with calendar position, merchandising and deal-seeking intent.",None to investigate. Stopping the acquisition outright has a real cost this project cannot price.,"The recommendation is to UNDERSTAND it, not to stop discounting. 02's own interpretation limit says it cannot justify a discounting decision on its own, and 07 is in this project precisely because observational cohort gaps are not incrementality.","A randomised discount-depth test on acquisition, or a holdout on next year's event. Until then the cohort flag belongs in the blocking structure of every test (08 S4C), which is where 08 put it."
STOP / DON'T START,S4,"Do not commission an uplift/CATE model on REES46 data as it stands, and do not promise segment-level response estimates from this experiment.","07 measured the sample an uplift ranking needs by running the learning curve rather than guessing: the baseline-response ranking is flat at ~0.69 Qini from 10k events upward, while the uplift learners climb monotonically and only overtake it at ~330,000 events. Design B buys about 8,346 repeat events in total.","07 S6E (learning curve), 07 binding_rules_for_08, 08 S7 heterogeneity power","Avoids buying a heterogeneity analysis that is ~40x short of the events it needs, and avoids promising a personalisation roadmap the data cannot support.",None.,"This is a statement about THIS dataset at THIS scale, not about uplift modelling. With 330k events the learners won on Criteo, decisively.","Re-check the event count, not the method: the constraint is events, and it is arithmetic."
