src,constraint,handled_in,design_response
07,"08 IS A DESIGN, NOT A TARGETING RULE. Do not select the treatment group with 06's scores. Use the score for stratification and pre-specified subgroups only.","S3E, S4","Treatment group is selected by a hash of user_id, not by any score. 06's score enters only as a blocking variable (S4C) and as a pre-registered exploratory subgroup (S7)."
07,Pre-specify ITT by randomised assignment as the primary estimand. Open-conditional or click-conditional analysis is the exposure error of S4 and is exploratory at best.,S5A,"Primary estimand is ITT by randomised assignment. Delivery, open and click are post-randomisation and are logged as operational diagnostics only; no arm comparison conditions on them."
07,"Power on EVENT count, not user count. S6E: the response ranking stabilised by ~10k events; the uplift learners needed ~330k to overtake it.","S6D, S7","Sample size is solved on the number of repeat-purchase EVENTS the design buys, not on headcount. The chosen size yields ~1,543 events per arm, ~3,086 across both, against the ~330k 07 measured as necessary for a reliable uplift ranking."
07,"Expect to measure an ATE, not a CATE. With 91,334 eligible users at a 13.7% base rate, a REES46 test will not support a reliable uplift model. Say so in the design rather than promising heterogeneity analysis it cannot deliver.","S1, S7",The design promises an ATE and says so. The heterogeneity readout is labelled exploratory with its own MDE (1.76 pp per tercile) printed next to it.
07,"Sleeping dogs were not found here at 5% resolution and that is not a licence to assume none exist in a retention context, where an unwanted email is a plausible way to lose a customer. 08 should power a pre-specified check for negative effects.","S5C, S8F","A pre-specified harm check: opt-out/unsubscribe and support contacts are one-sided guardrails with stopping thresholds, and the heterogeneity readout reports negative cells rather than suppressing them."
03,"Churn here is FIRST-PURCHASE churn: 87.8% of flagged users have exactly one order. This is an activation problem, not a win-back one.",S3A,The intervention is a second-order activation nudge. Nothing in the design attempts to reactivate a lapsed multi-order customer.
03,"D30 cannot carry a churn label and the certified 42.2d rule flags nobody before day 42.2, by which point most of the repeat window has passed.","S3B, S3C","The trigger is TIME SINCE FIRST ORDER (day 14), not the churn flag. This sidesteps the unidentified threshold and the 53% recall entirely: neither quantity appears anywhere in the enrolment rule."
04,"Cell B3 (tenure <= 30d, engaged, n=7,741) is the profile inside the open window; B1 is reached ~109 days too late.",S3D,"The day-14 trigger population is the B3 profile generalised: every enrollee is 14 days past a first order, well inside B3's tenure band and 95 days ahead of B1's median recency."
04/05,Segment labels are not durable (kappa 0.309) and segment_model.json is degenerate in a pre-first-order window.,S3E,"No stored segment is used to target or to stratify. Blocking uses acquisition month and 06's score, both re-computed at trigger time."
06/07,Do not target on 06's risk score: risk targeting captured 1.0% of the achievable effect against random's 49.8%.,"S3E, S4",The score does not enter the enrolment rule or the assignment rule. Enrolment is by trigger; assignment is by hash.
07,"The sign of heterogeneity may INVERT from Criteo's, because retention persuadables plausibly sit mid-propensity rather than high.",S7,"The tercile readout is pre-registered as two-sided with no predicted direction, and the pre-registration records that a mid-tercile peak and a monotone rise are both admissible outcomes."
07,Do not use Criteo effect sizes to set the MDE (transfer caveat plus a +/-25% adjustment bias band).,"S6, S10","The MDE is solved from contact cost, contribution margin and AOV. S10 asserts mechanically that no registered economic input names Criteo."
02,Compounding vs selection: an engineered 2nd purchase does not inherit the naive ~2x downstream repeat rate. The residual is 1.27x.,S6B,"The value of one incremental second order is margin on that order plus a downstream term built on the 1.27x residual (+4.00 pp), not on 2.00x (+14.84 pp). The naive figure would overstate the downstream term 3.7x."
06,"Base rate drifts 17.2% (Oct) -> 10.1% (Dec), partly the Black Friday cohort. Pre/post comparison is invalid.",S8A,"Concurrent control, blocked on acquisition month. S8A measures the drift again on the trigger population, where it is larger: 14.73% -> 6.98%."
00/03,user_id is cookie-scoped. A treated user returning on a new device looks like an untreated new user.,S8B,"Stated with its direction: the bias is toward the null, so the measured ITT is a conservative lower bound on the true per-person effect."
