check,pass,detail
bot list reproduces the certified exclusion,True,"1,605 == 1,605"
orders reproduce 02's persisted file,True,"158,399 == 158,399"
feature frame covers every purchaser exactly once,True,"109,732 rows, user_id unique"
D30 feature-frame rows == eligible user count,True,"91,334 == 91,334"
D60 feature-frame rows == eligible user count,True,"71,727 == 71,727"
D90 feature-frame rows == eligible user count,True,"52,737 == 52,737"
D30 reconciles against 02's cohort-eligible N,True,"71,727 == 71,727"
D30 reconciles against 02's purchase-retention rate,True,14.08% == 14.08%
D60 reconciles against 02's cohort-eligible N,True,"71,727 == 71,727"
D60 reconciles against 02's purchase-retention rate,True,21.08% == 21.08%
D90 reconciles against 02's cohort-eligible N,True,"52,151 == 52,151"
D90 reconciles against 02's purchase-retention rate,True,27.10% == 27.10%
02's cohort-eligible set is a strict subset of the user-eligible set at every horizon,True,asserted per horizon in Section 3
days_to_next_order reproduces 02's persisted column,True,"all 109,732 purchasers"
the four event windows partition the purchaser events,True,"11,354,272 rows, no overlap"
WINDOW DISJOINTNESS: no feature block reads an event after t0,True,max feature-block offset 0s vs t0
WINDOW DISJOINTNESS: no outcome order is at or before t0,True,min outcome offset 70s vs t0
no purchase exists in the pre-t0 window (t0 IS the first order),True,0 rows
fs_ended_in_purchase is constant and was dropped,True,"TRUE for 109,732/109,732 = 100%"
every built column is declared in the dictionary,True,96 built == 96 declared
every model-eligible feature declares an allowed window,True,"windows present: ['< t0', 'at t0']"
no target/meta column is marked model-eligible,True,15 columns excluded by design
LEAKAGE SCREEN detects a planted pure-outcome control,True,POSCTRL AUC 0.9386
LEAKAGE SCREEN detects the realistic near-miss control,True,naive 0.5737 vs truncated 0.5525
no shipped feature scores within 0.20 AUC of the pure-outcome control,True,max real AUC 0.6097 < threshold 0.7386 (control 0.9386)
truncating the first-session feature removes measurable leakage at constant coverage,True,"same 81,626 users: untruncated 0.5790 vs truncated 0.5525 (+0.0265)"
is_bulk_buyer_fullhistory matches 02's count and is excluded from the model set,True,"143 == 143, model_eligible=False"
no cart-abandonment TYPE column reached the table (F5),True,"abandonment_user_types_leakage_safe.parquet loaded, reported, not joined"
no static cluster_name reached the table (F4),True,pre_segment is re-scored on pre-t0 data and marked model_eligible=False
DETERMINISM: two full builds produce zero differing cells,True,83 columns compared
features.parquet round-trips,True,"109,732 x 96"
no feature column is entirely NULL on the D30 frame,True,checked on all declared columns
no model-eligible numeric feature is constant on the D30 frame,True,79 numeric model-eligible features
